company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
Cell Propulsion,Automotive,Electric Vehicle,Bangalore,Karnataka,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,—,$1M to $10M,"May 26, 2016",www.cellpropulsion.com,2,Nakul Kukar,Paras Kaushal,Nov-50,7,—,"Jun 10, 2021","₹ 14,00,00,000.00",Venture - Series Unknown,"$ 41,94,000.00",6,Huddle,IIMA Ventures,growX ventures,Micello
Profectus Capital,Finance,Financial Services,Mumbai,Maharashtra,Profectus Capital is a non-banking financial services company.,400070,—,"Jan 1, 2017",www.profectuscapital.com/,1,KV Srinivasan,,101-250,1,Private Equity,"May 30, 2018","$ 22,00,00,000.00",Private Equity,"$ 22,00,00,000.00",1,,,,
Citykart,E-Commerce,Marketing,New Delhi,Delhi,CityKart is one of the largest family stores chain.,110037,$1M to $10M,2016,citykartretail.com,1,Sudhanshu Agarwal,,501-1000,1,Private Equity,"Jan 26, 2019","₹ 1,00,00,00,000.00",Private Equity,"₹ 1,00,00,00,000.00",2,India SME Investments,,,
Upwards Fintech,Banking,Financial Services,Mumbai,Maharashtra,Upwards Fintech financial company provides personal loans for salaried individuals.,400059,Less than $1M,2017,upwards.in,2,Abhishek Soni,Nimesh Verma,51-100,2,M&A,"Sep 11, 2018","$ 50,00,000.00",Series A,"$ 50,00,000.00",3,India Quotient,Mayfield Fund,,
Thingsup,Internet of Things,SaaS,Pune,Maharashtra,"Thingsup - Enterprise IoT Platform securely Connect, Manage and Analyse IoT data with Rules Engine and Custom Dashboard Builder.",—,$1M to $10M,2017,thingsup.io,2,Akshay Ghadage,Pranav Naiknavare,Nov-50,2,Seed,"Dec 13, 2022","₹ 5,00,00,000.00",Seed,"$ 7,06,781.00",4,Lead Angels Network,Silverneedle Ventures,Udyat,
Three Wheels United,Electric Vehicle,Finance,Bangalore,Karnataka,Three Wheels United is a tech-enabled financier of light electric vehicles.,560042,Less than $1M,2016,www.threewheelsunited.com/,1,Cedrick Tandong,,Nov-50,4,Early Stage Venture,"May 25, 2022","₹ 77,00,00,000.00",Series A,"₹ 77,00,00,000.00",5,Grip Invest,ADB Ventures,GINCO Investments,Delta Corp Holdings
Koovers,Autonomous Vehicles,E-Commerce,Bengaluru,Karnataka,"Koovers assures workshops of spares with ease of ordering, doorstep delivery, genuine and complete basket of parts of all car makers",—,$1M to $10M,2016,www.koovers.in/,4,Rajesh Krishna,Sandeep Begur,Nov-50,2,M&A,"Jun 17, 2022","$ 10,00,000.00",Seed,"$ 25,00,000.00",6,Venture Catalysts,Canbank Venture Capital Fund,JPIN,Rajiv M Sanghvi
LOGOS India,E-Commerce,Logistics,Mumbai,Maharashtra,LOGOS India operates as as logistics investment and development firm.,400051,—,2017,logosindia.com/,1,Mehul Shah,,251-500,1,—,"Oct 24, 2017","$ 40,00,00,000.00",Venture - Series Unknown,"$ 40,00,00,000.00",2,Ivanhoe Cambridge,,,
Wefast,Courier Service,Delivery,Mumbai,Maharashtra,"Wefast provides instant same-day delivery service for B2C, B2B segment of e-commerce as well as intended for classic industries.",400064,$1M to $10M,2016,wefast.in/,1,Evgeny P.,,51-100,1,Early Stage Venture,"Aug 22, 2019","$ 1,50,00,000.00",Series B,"$ 1,50,00,000.00",2,VNV Global,,,
Kredily,Human Resources,Software,Bengaluru,Karnataka,Kredily is a payroll & HR Software.,—,$1M to $10M,2017,kredily.com/,1,Devendra Khandegar,,Nov-50,4,Seed,"Sep 1, 2022","$ 6,25,000.00",Seed,"$ 25,75,000.00",6,HEM ANGELS,Fosun RZ Capital,Mohit Tandon,Peaceful Progress
Pan Healthcare,Consumer Goods,Health Care,Rajkot,Gujarat,"Pan Healthcare is a provider of complete health, hygiene, and personal care products under several brands for babies, men, and women.",360005,$1M to $10M,2016,www.panhealth.co.in,—,,,501-1000,1,Private Equity,"Feb 7, 2023","₹ 4,00,00,00,000.00",Private Equity,"₹ 4,00,00,00,000.00",1,,,,
Altius Investech,Financial Services,FinTech,Kolkata,West Bengal,Altius Investech is India’s leading platform for investing in Pre-IPO & Private equity.,—,$1M to $10M,2016,www.altiusinvestech.com/,1,Sandip Ginodia,,Nov-50,1,Seed,"Sep 1, 2021","₹ 6,00,00,000.00",Seed,"₹ 6,00,00,000.00",—,,,,
Clip App,Apps,Internet,Bengaluru,Karnataka,"Clip App is a digital media video startup that allows its users to easily create, watch and download funny Indian videos.",—,$1M to $10M,2017,clipapp.in/,3,Ashish Gupta,Nav Agrawal,Nov-50,2,M&A,"Dec 14, 2017","$ 60,00,000.00",Series A,"$ 70,00,000.00",3,Matrix Partners India,India Quotient,,
Kutuki,E-Learning,Education,Bengaluru,Karnataka,Kutuki is a learning platform focused on children between the ages of three and seven.,—,$1M to $10M,2017,www.kutuki.in/,2,Bharath Bevinahally,Sneha Sundaram,01-Oct,2,Seed,"Feb 24, 2021","₹ 16,00,00,000.00",Seed,"₹ 16,00,00,000.00",6,First Cheque,AET,Jaithirth Rao,BetterCapital AngelList syndicate
AutoNxt Automation,Automotive,,Thane,Maharashtra,AutoNxt Automation is the world's first electric autonomous tractor company.,400601,$1M to $10M,2016,autonxt.in/,1,Kaustubh Dhonde,,01-Oct,3,Seed,"Aug 17, 2022","₹ 6,40,00,000.00",Seed,"$ 10,01,472.00",9,Virya Mobility 5.0,Chetan Maini,Ayad Chammas,Chand Das
Nexxio Technologies,B2B,Software,Bangalore,Karnataka,Nexxio Technologies provides B2B software solutions for small and medium enterprises.,—,—,"Jan 1, 2016",nexxio.in/,1,Dhiraj Bhandari,,01-Oct,1,Seed,"Aug 1, 2023","₹ 3,00,00,000.00",Pre-Seed,"₹ 3,00,00,000.00",6,Sumit Agarwal,Aniketh Jain,Aashish Agarwaal,Malay Krishna
Sukino Healthcare Solutions,Health Care,,Bangalore,Karnataka,Sukino Healthcare Solutions is India’s leading step-down provider of long-term health care management for patients with chronic ailments,560102,$10M to $50M,"Oct 9, 2015",www.sukino.com,2,Binu James,Rajinish Menon,101-250,2,Early Stage Venture,"Mar 20, 2023","₹ 50,00,00,000.00",Series A,"₹ 50,00,00,000.00",2,Stakeboat Capital,,,
AdvaRisk,Financial Services,FinTech,Mumbai,Maharashtra,A B2B fraud detection and decision support platform for financial institutions,—,$1M to $10M,"Mar 3, 2016",advarisk.com,2,Rahul Metkar,Vishal Sharma,Nov-50,1,Seed,"Sep 23, 2019","$ 7,00,000.00",Seed,"$ 7,00,000.00",2,Sprout Venture Partners,,,
Crediwatch,FinTech,Information Services,Bengaluru,Karnataka,The easiest way to connect the world of business and financial data and convert them into analytics powered insights.,560011,$1M to $10M,Sep-16,www.crediwatch.com/,2,Meghna Suryakumar,Sandeep Anandampillai,51-100,3,—,"Jan 19, 2023",—,Venture - Series Unknown,"$ 48,00,000.00",5,Artis Ventures (AV),Piper Serica Angel Fund,Contrarian Drishti Partners,Riso Capital
Nodd,Mobile Apps,Professional Networking,Mumbai,Maharashtra,Noddapp.com is an app based networking platform,—,Less than $1M,"Mar 8, 2016",noddapp.com/,4,Arpit Bajpai,Praleed Suvarna,Nov-50,1,Seed,"Nov 22, 2016","₹ 1,25,00,000.00",Seed,"₹ 1,25,00,000.00",4,Vivek Lath,Srinivas Koora,Sauvik Banerjjee,
The Money Club,Financial Services,FinTech,Noida,Uttar Pradesh,"The Money Club wants to make saving, investing and borrowing money more efficient.",201301,Less than $1M,2016,moneyclubber.com/,2,Manuraj Jain,Surajit Ray,51-100,5,Seed,"Apr 1, 2023",—,Seed,"$ 18,50,000.00",15,Blume Ventures,SOSV,LetsVenture,Loyal VC
Ulipsu,EdTech,Education,Mysore,Karnataka,"Ulipsu an Education & Research Company, crafts top-tier curriculum programs for schools worldwide.",—,$1M to $10M,"Jan 1, 2017",ulipsu.com,2,Nikhil Bhaskar,Sumanth Prabhu,101-250,1,Seed,"Nov 30, 2021","$ 10,00,000.00",Seed,"$ 10,00,000.00",—,,,,
Good Dot,Alternative Protein,Food and Beverage,Udaipur,Rajasthan,Good Dot is a food-tech startup bringing plant-based meat to India.,—,$1M to $10M,2016,www.gooddot.in/,5,Abhishek Sinha,Deepak Parihar,01-Oct,3,Early Stage Venture,"Jul 27, 2021","$ 45,70,000.00",Series A,"$ 65,10,000.00",3,RCM Business,New Crop Capital,,
Toolsvilla,AgTech,B2B,Durgapur,West Bengal,"India's leading B2B eCommerce Marketplace for Machinery, Tools & Supplies that solve operational inefficiencies in Indian SMBs.",713213,$1M to $10M,2016,www.toolsvilla.com,2,Chetan Khaitan,Varsha Khaitan,51-100,7,Seed,"Jan 5, 2024",—,Seed,"$ 15,70,000.00",4,Bread and Butter Ventures,Rick Berry,Uma Valeti,
9stacks,Gaming,Internet,Delhi,Delhi,9stacks is an Indian-based online gaming startup that offers poker games.,—,$1M to $10M,2017,www.9stacks.com,3,Pratik Kumar,Rishab Mathur,01-Oct,2,Early Stage Venture,"Oct 2, 2018","₹ 28,00,00,000.00",Series A,"₹ 38,00,00,000.00",6,WaterBridge Ventures,Astarc Ventures,Kartik Sheth,Swati Gupta
APAC Financial Services,Finance,Financial Services,Mumbai,Maharashtra,APAC Financial Services is a financial services platform.,400 013,$10M to $50M,2017,www.apacfin.com/,2,Gunit Chadha,Randhir Singh,1001-5000,1,Private Equity,"Dec 17, 2018","₹ 2,50,00,00,000.00",Private Equity,"₹ 2,50,00,00,000.00",1,,,,
Kites Senior Care,Communities,Health Care,Bengaluru,Karnataka,"KITES provides transitional, rehab, hospice, and palliative care services for elders.",560043,—,"Feb 1, 2016",kitesseniorcare.com/,—,,,51-100,3,Seed,"Jan 12, 2023","₹ 17,00,00,000.00",Seed,"$ 22,95,773.00",2,Arvind ..,,,
Mother Sparsh Baby Care,Child Care,Online Portals,Haryana,Haryana,"Mother Sparsh is a premium ayurvedic and natural personal care start-up in the D2C space, focusing on mother and baby care segments.",134113,$10M to $50M,"Feb 5, 2016",mothersparsh.com/,2,Himanshu Gandhi,Rishu Gandhi,51-100,2,Early Stage Venture,"Oct 19, 2022","₹ 13,50,00,000.00",Series B,"₹ 33,50,00,000.00",1,,,,
ConnectedH,Health Care,,Gurgaon,Haryana,ConnectedH is to simplify healthcare processes by organizing relevant data.,122003,$1M to $10M,"Dec 1, 2016",www.connectedh.com,3,Rahul Kumar,Shubham Gupta,101-250,2,Seed,"Sep 29, 2021","₹ 17,00,00,000.00",Seed,"₹ 19,04,00,000.00",26,First Cheque,Kalaari Capital,Asish Mohapatra,Gaurav Munjal
SWIRL,E-Commerce,E-Commerce Platforms,Vadodara,Gujarat,A Live Commerce SaaS that helps brands accelerate sales conversions using interactive video shopping,—,$1M to $10M,"Mar 8, 2016",www.goswirl.live,2,Bhejash Joshi,Kaizad Hansotia,Nov-50,3,Seed,"Feb 6, 2024","₹ 9,10,00,000.00",Seed,"$ 13,46,174.00",20,Neha kulwal,Ratan Ingu,Jitendranath Patri,Mohammed Dewji
Maximl Labs Private Limited,Industrial Automation,Oil and Gas,Bengaluru,Karnataka,Industrial AI Platform for Operational Excellence,560038,—,"Dec 26, 2016",maximl.com/,4,Ajaykrishnan Jayagopal,Manish Arora,101-250,2,Seed,"Oct 24, 2018","$ 10,00,000.00",Seed,"$ 10,00,000.00",3,Axilor Ventures,MassChallenge,,
Design Cafe,Home Decor,Home Improvement,Home Services,Interior Design,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",560001,$1M to $10M,Oct-15,www.designcafe.com/,2,India,Asia-Pacific (APAC),501-1000,5,Early Stage Venture,"Mar 29, 2023","₹ 40,00,00,000.00",Series B,"₹ 4,06,00,00,000.00",10,Sixth Sense Ventures,Westbridge Capital,Mirabilis Investment Trust,
Happyeasygo,E-Commerce,Tourism,Haryana,Haryana,HappyEasyGo is an online travel domain.,122016,—,2017,www.happyeasygo.com/,1,Boris Zha,,251-500,5,Late Stage Venture,"May 24, 2022",—,Series C,"₹ 3,50,00,00,000.00",15,58.com,Samsung Ventures,Korea Investment Partners,CVC Capital Partners
myUpchar,Health Care,Hospital,New Delhi,Delhi,To bring health issues to people in their language.,—,$1M to $10M,"Nov 15, 2016",www.myupchar.com/,2,Manuj Garg,Rajat Garg,01-Oct,2,Early Stage Venture,"Aug 28, 2018","$ 50,00,000.00",Series A,"$ 53,05,181.00",6,Omidyar Network,Nexus Venture Partners,Rajan Anandan,Alok Mittal
PayMe India,Consumer Lending,Financial Services,Noida,Uttar Pradesh,PayMe India is an innovative FinTech organization offering financial support to individuals with fixed income pattern.,201301,$1M to $10M,"Aug 15, 2016",www.paymeindia.in,2,Mahesh Shukla,Sandeep Singh,501-1000,2,Seed,"Feb 12, 2021",—,Seed,"$ 20,00,000.00",5,Pramod Singhal,Rishi Bhasin,Alok Garodia,Shashank Sharma
ExtraaEdge,Advertising,Artificial Intelligence (AI),Pune,Maharashtra,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,411045,Less than $1M,"Dec 1, 2015",www.extraaedge.com,2,Abhishek Ballabh,Sushil Mundada,51-100,5,Seed,"Mar 21, 2021","$ 10,00,000.00",Seed,"$ 29,60,000.00",19,DevX,Indian Angel Network,First Cheque,Faad Network
MaxWholesale,B2B,E-Commerce,New Delhi,Delhi,MaxWholesale is an Online B2B grocery company.,110016,$1M to $10M,Jun-16,maxwholesale.com,2,Rohit Narang,Samarth Agrawal,Nov-50,4,Early Stage Venture,"Feb 18, 2020","$ 30,00,000.00",Series A,"$ 45,08,959.00",7,Al Falaj Investment Company,Ambarish Raghuvanshi,Maple Capital Advisors,Abhinav Grover
Edustoke,Education,Online Portals,Bengaluru,Karnataka,"Edustoke is an online portal that offers information about day school, play school, boarding school and PU junior colleges.",—,—,"Jan 1, 2016",edustoke.com,2,Pawas Tyagi,Rohit Malik,01-Oct,1,Seed,"Jan 17, 2022","₹ 3,00,00,000.00",Seed,"₹ 3,00,00,000.00",1,,,,
Sanctum Wealth Management,Angel Investment,Financial Services,Mumbai,Maharashtra,Sanctum provides end-to-end private wealth management solutions for High Net Worth Individuals (HNIs).,—,$10M to $50M,Apr-16,www.sanctumwealth.com/,5,Anila Ahuja,Caroline Kulkarni,101-250,2,Private Equity,"Sep 27, 2021","₹ 78,00,00,000.00",Private Equity,"₹ 1,51,00,00,000.00",2,The Xander Group,,,
BharatRohan,Agriculture,AgTech,Hyderabad,Andhra Pradesh,BharatRohan collects data from agricultural farms and converts it into actionable information and reports for industrial producers.,—,—,2016,www.bharatrohan.in/,2,Amandeep Panwar,Rishabh Choudhary,01-Oct,2,Seed,"Mar 9, 2022",—,Seed,"₹ 25,00,000.00",4,Upaya Social Ventures,Villgro,Caspian Debt,
Eyestem,Biotechnology,,Bengaluru,Karnataka,Eyestem is a cell therapy company founded by a top-class management team.,560065,—,2016,www.eyestem.com/,3,Dr. Jogin Desai,Jogin Desai,Nov-50,3,Early Stage Venture,"Aug 8, 2022","₹ 51,00,00,000.00",Series A,"₹ 51,00,00,000.00",11,Endiya Partners,Natco Pharma,Kotak Private Equity,Biological E.
BizzO,Analytics,Enterprise Applications,Mumbai,Maharashtra,BizzO enables you to create your own personalized booking portal.,400093,$1M to $10M,2017,bizzo.in/,—,,,101-250,1,Seed,"May 5, 2022","₹ 15,00,00,000.00",Seed,"₹ 15,00,00,000.00",2,Orios Venture Partners,,,
The Ken,Digital Media,Journalism,Bengaluru,Karnataka,The Ken is India’s first subscriptions-only business news site,560 068,—,"Oct 3, 2016",the-ken.com/,3,Ashish K Mishra,Rohin Dharmakumar,Nov-50,3,Early Stage Venture,"Jul 18, 2018","$ 15,00,000.00",Series A,"$ 21,28,000.00",15,Girish Mathrubootham,Vijay Shekhar Sharma,Shan Krishnasamy,Aprameya Radhakrishna
Colive.in,Consumer,Property Management,Bangalore,Karnataka,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,560037,Less than $1M,2016,www.colive.in/,1,Arun K Singh,,101-250,3,Early Stage Venture,"Apr 10, 2019","$ 92,00,000.00",Series A,"$ 1,20,00,000.00",2,Ncubate Capital Partners,,,
The Health Factory,Food and Beverage,Food Delivery,Mumbai,Maharashtra,The Health Factory provides high-protein bread that transforms the guilty pleasure of chocolate into the high-protein and high-fiber.,—,$1M to $10M,2017,thehealthfactory.in,1,Mohit Sankhala,,Nov-50,1,Seed,"Aug 17, 2022","₹ 2,00,00,000.00",Seed,"₹ 2,00,00,000.00",2,Vikas D Nahar,,,
Dressfolk,E-Commerce,Fashion,New Delhi,Delhi,Dressfolk is the curator of Indian crafts and modish silhouettes.,—,—,"Dec 18, 2016",www.dressfolk.com/,2,LUXMI MEHROTRA,Nitin Mehrotra,Nov-50,1,Seed,"Oct 5, 2023","₹ 3,30,00,000.00",Seed,"₹ 3,30,00,000.00",15,FinFirst Advisors,Vidur Kataria,Apurva Damani,Vikrampati Singhania
Wakefit,E-Commerce,Furniture,Bangalore,Karnataka,Wakefit is a sleep and home solutions company that manufactures mattresses along with other furniture.,560029,Less than $1M,2016,www.wakefit.co,2,Ankit Garg,Chaitanya Ramalingegowda,1001-5000,5,Late Stage Venture,"Jan 13, 2023","₹ 3,20,00,00,000.00",Series D,"$ 14,54,24,540.00",5,Sequoia Capital,Susquehanna International Group (SIG),Peak XV Partners,Verlinvest
Varashakti Housing Finance,Finance,Financial Services,Chennai,Tamil Nadu,Varashakti Housing Finance operates as a rural housing finance provider.,600083,—,2017,varashaktihousing.co.in/,—,,,51-100,1,Early Stage Venture,"Jul 24, 2023","₹ 35,00,00,000.00",Series A,"₹ 35,00,00,000.00",1,,,,
Smart Auto Systems,Automotive,Software,Hyderabad,Andhra Pradesh,Smart Auto Systems develops technology to digitally enable auto-ecosystem.,500032,$1M to $10M,Dec-15,www.autorox.co/,1,Vijay Gummadi,,Nov-50,1,Early Stage Venture,"Jul 10, 2017","₹ 20,00,00,000.00",Series A,"₹ 20,00,00,000.00",1,,,,
Playtoome,Broadcasting,Media and Entertainment,Bengaluru,Karnataka,"Playtoome is a live entertainment destination. Watch concerts and live performances, such as dance, music, and drama, as they happen.",560 052,—,2016,www.playtoome.com/,1,Subramanian Keerthivasan,,Nov-50,6,Seed,"Nov 9, 2020",—,Seed,"₹ 3,50,00,000.00",11,SOSV,India Accelerator,Arihant Patni,Newport Holdings
TrashCon,Environmental Consulting,Machinery Manufacturing,Bengaluru,Karnataka,"TrashCon is a globally awarded sustainability company with tech solutions in waste management, zero waste and plastic recycling.",—,—,2017,www.trashcon.in/,2,Nivedha R.M,Saurabh Jain,51-100,6,Seed,"Jan 1, 2022","$ 10,00,000.00",Seed,"$ 35,67,350.00",4,Boundary Holding,Shell E4,Karnataka Startup Cell,
Recko,Enterprise,Financial Services,Bangalore,Karnataka,"Recko is a financial operations platform for internet companies that automates reconciliation, commission calculations, and payouts.",560095,$1M to $10M,2017,www.recko.io,2,Prashant Borde,Saurya Prakash Sinha,101-250,2,M&A,"Apr 2, 2020","$ 60,00,000.00",Series A,"$ 70,00,000.00",6,Vertex Ventures Southeast Asia & India,Taavet Hinrikus,Locus Ventures,Ashish Gupta
Enrico,Fashion,,Andheri,Maharashtra,"Enrico is an in-house, one-of-a-kind craftsmanship and design is to make you stand out in a crowd while giving you necessary eye protection.",—,$1M to $10M,2017,enricoeyewear.com,—,,,01-Oct,2,Seed,"Dec 21, 2023","₹ 2,10,00,000.00",Pre-Seed,"₹ 2,22,50,000.00",1,,,,
Dr. Sheth's for Indian Skin,Beauty,Cosmetics,Mumbai,Maharashtra,"Dr. Sheth's is a luxury, vegan skincare brand created by three generations of Indian skin doctors.",400013,$1M to $10M,2017,drsheths.in/,3,Aarti Bhatia,Aneesh Sheth,51-100,1,M&A,"Apr 17, 2019","₹ 4,00,00,000.00",Seed,"₹ 4,00,00,000.00",1,,,,
PlusPin Healthcare,Health Care,Health Diagnostics,Hyderabad,Andhra Pradesh,PlusPin aims to provide intelligent discovery of healthcare services in neighborhood through customized services and at an affordable price,500032,Less than $1M,"Dec 6, 2016",www.pluspin.com,2,Gopal Krishna Panigrahy,Santosh Kumar Panda,Nov-50,2,Seed,"Sep 16, 2019","₹ 5,25,00,000.00",Seed,"₹ 5,25,00,000.00",8,Axilor Ventures,Rajan Anandan,Munjal Group,Ambicare Clinics
